discription,name,是否测试,civitai_url,prompt,high_noise_lora,high_noise_lora_id,low_noise_lora,low_noise_lora_id,,,,,,,,,,,,
Breast Expansion,Breast Expansion,已测试,https://civitai.com/models/1918611,"Br3ast3xpansion, her breasts grow",LORA_I2V_Breast_Expansion_v5_H.safetensors,2204414,LORA_I2V_Breast_Expansion_v5_L.safetensors,2204588,,,,,,,,,,,,
Breast Expansion Grabbing,Grabbing Breast,已测试,https://civitai.com/models/1918611,"Br3ast3xpansion, her breasts grow, grabbing breasts",LORA_I2V_Breast_Expansion_v5_H.safetensors,2204414,LORA_I2V_Breast_Expansion_v5_L.safetensors,2204588,,,,,,,,,,,,
Fingering,Fingering,已测试,https://civitai.com/models/1952032,"she uses her hands to pull down her pants Quickly, show her vagina. Woman smiles at camera. She then sits on the floor, show her vagina. The camera zooms in for a close up of the womans vulva. Close-up stays for 2 seconds The upward-looking camera angle. sensual_fingering The beautiful girl is fingering her vagina with her two middle fingers, her fingers are slowly sliding in and out of her vagina, water is squirting out of her vagina when her fingers slides out.",LORA_I2V_Fingering_H.safetensors,2209275,LORA_I2V_Fingering_L.safetensors,2209481,,,,,,,,,,,,
Fingering Pussy,Fingering Pussy,已测试,https://civitai.com/models/2007360,"she uses her hands to pull down her pants Quickly, show her vagina. Woman smiles at camera. She then sits on the floor, show her vagina. The camera zooms in for a close up of the womans vulva. Close-up stays for 2 seconds The upward-looking camera angle. sensual_fingering The beautiful girl is fingering her vagina with her two middle fingers, her fingers are slowly sliding in and out of her vagina, water is squirting out of her vagina when her fingers slides out.",LORA_I2V_Fingering_Pussy_H.safetensors,2272024,LORA_I2V_Fingering_Pussy_L.safetensors,2272102,,,,,,,,,,,,
Deepthroat Blowjob,Deepthroat,已测试,https://civitai.com/models/1497390,"blowjob, deepthroat; a man enters from the left, his massive erect penis and testicles clearly visible. She sensually begins deepthroat fellatio, sucking the man's erect penis while rocking her head back and forth. The foreskin is pulled back as the shaft plunges deep into her mouth and throat. Transparent saliva coats the shaft. She extends her arms, caressing the man's abdomen.",LORA_I2V_Deepthroat_Blowjob_H.safetensors,2152516,LORA_I2V_Deepthroat_Blowjob_L.safetensors,2152583,,,,,,,,,,,,
Deepthroat Blowjob Pov,Pov Blowjob,已测试,https://civitai.com/models/1497390,"blowjob, deepthroat, pov; a man massive erect penis and testicles clearly visible. She sensually begins deepthroat fellatio, sucking the man's erect penis while rocking her head back and forth. The foreskin is pulled back as the shaft plunges deep into her mouth and throat. Transparent saliva coats the shaft. She extends her arms, caressing the man's abdomen.",LORA_I2V_Deepthroat_Blowjob_H.safetensors,2152516,LORA_I2V_Deepthroat_Blowjob_L.safetensors,2152583,,,,,,,,,,,,
Deepthroat Blowjob Wet,Wet Blowjob,已测试,https://civitai.com/models/1497390,"blowjob, deepthroat, pov; a video on a woman with fair skin performing a deepthroat blowjob. She kneeling in front of a man. The man is moving his erect penis back and forth in the woman mouth and throat, while she is sucking the man's penis, the penis is going deep into her mouth and throat. Her throat is prominently bulging as the man's penis penetrates her mouth and throat. She makes the penis wet with translucent saliva. a bit of foamy translucent saliva accumulates on the penis",LORA_I2V_Deepthroat_Blowjob_H.safetensors,2152516,LORA_I2V_Deepthroat_Blowjob_L.safetensors,2152583,,,,,,,,,,,,
Ultimate DeepThroat,Ultimate DeepThroat,已测试,https://civitai.com/models/1874811,"a woman in front of a penis, she engages in a deep throat blowjob, she swallows the penis all the way. Her lips touches the mans groin. Her nose smashes against the man's hips.",LORA_I2V_Ultimate_DeepThroat_V1.1_H.safetensors,2325788,LORA_I2V_Ultimate_DeepThroat_V1.1_L.safetensors,2191446,,,,,,,,,,,,
Ultimate DeepThroat Hard,DeepThroat Hard,已测试,https://civitai.com/models/1874811,"a man enters from the side, only his lower body is visible, side view of his hips, thighs and legs, with a gigantic erected penis with testicles appears and she starts engaging in a deepthroat blowjob with that penis. She swallows the entire penis, her nose smashes agains the man's hips. She moves her head back and fort swallowing the penis, realistic proportions, natural lighting, cinematic composition",LORA_I2V_Ultimate_DeepThroat_V1.1_H.safetensors,2325788,LORA_I2V_Ultimate_DeepThroat_V1.1_L.safetensors,2191446,,,,,,,,,,,,
Facesplash Comeshot,Facesplash Comeshot,已测试,https://civitai.com/models/1922973,"f4c3spl4sh, the scenes starts with the camera zooming out revealing a cinematic scene with a woman in the frame with a man entering from the right side, only his lower body is visible, side view of his hips, thighs and legs, with a gigantic erected penis with testicles. She starts recieving a cumshot on her face from the penis. The stream of semen is directed towards her mouth. The force of the ejaculation is strong, and the trajectory of the semen is aimed directly at her open mouth. The quantity of semen is substantial, covering a significant portion of her face and neck area. The woman's eyes are open, and her mouth is slightly open as she receives the semen. The camera is positioned close to the woman's face and chest, capturing the moment of male ejaculation directly onto her face and chest. The semen is seen forcefully erupting from the penis and landing on her skin, creating a visible pool of semen on her chest.",LORA_I2V_Facesplash_Comeshot_H.safetensors,2178869,LORA_I2V_Facesplash_Comeshot_L.safetensors,2176450,,,,,,,,,,,,
Facial Cumshots,Facial Cumshots,已测试,https://civitai.com/models/1436911,"A woman is receiving a load of cum on her face, a man holding his penis in his hand and stroking it ejaculates cum or white semen into the woman's face.",LORA_I2V_Facial_Cumshots_H.safetensors,2245063,LORA_I2V_Facial_Cumshots_L.safetensors,2245076,,,,,,,,,,,,
Penis Play,Penis Play,已测试,https://civitai.com/models/1844313,"A woman performs penis worshipping, holding a large, erect penis with both hands and bringing it towards her face. She is licking the shaft, smiling. She continues to kiss and suck the penis, then rubs it on her face. Camera is focused from a low, upward angle.",LORA_I2V_Penis_Play_H.safetensors,2087173,LORA_I2V_Penis_Play_L.safetensors,2087124,,,,,,,,,,,,
Anal Sex,Anal Sex,已测试,https://civitai.com/models/1426284,"the woman turns around to the right, displaying her back side in front of the viewer facing away from the viewer. she uses her hands to pull down her pants slightly, presenting her ginormous, pale ass bending over. leaking out of her anus and vagina. 

then a man appears at the bottom and quickly inserts his penis into her anal. anal sex. she keeps looking at the camera throughout the whole video",LORA_I2V_Anal_Sex_H.safetensors,2161023,LORA_I2V_Anal_Sex_L.safetensors,2161067,,,,,,,,,,,,
Oral Insertion,Oral Insertion,已测试,https://civitai.com/models/1874153,A man appears and she sucks his penis,LORA_I2V_Oral_Insertion_H.safetensors,-,LORA_I2V_Oral_Insertion_L.safetensors,-,,,,,,,,,,,,
POV Insertion doggy,POV Doggy,已测试,https://civitai.com/models/1855263,"the woman turns around to the right, displaying her back side in front of the viewer facing away from the viewer. she uses her hands to pull down her pants slightly, presenting her ginormous, pale ass bending over. leaking out of her anus and vagina. A man appears and inserts his penis into her pussy",LORA_I2V_POV_Insertion_H.safetensors,-,LORA_I2V_POV_Insertion_L.safetensors,-,,,,,,,,,,,,
POV Insertion doggy cuts,POV Doggy Cuts,已测试,https://civitai.com/models/1855263,"The girl teasingly lifts up her clothes, exposing her perfect, natural breasts, and sways them playfully towards the viewer, her eyes sparkling with mischief. The camera captures her every movement, highlighting the way her skin glistens under the light, and the subtle bounce of her breasts with each sway. Suddenly, the scene cuts to a doggy-style sex POV, the camera angle shifting to place the viewer behind her, bent over a cluttered table. Her ass is up, her perfect, puffy vagina and anus visible, the camera focusing on the intimate details. The viewer grabs his penis with his hand, guiding it into her vagina, the camera capturing the POV insertion, highlighting the contrast between his erect penis and her wet, inviting entrance. He begins to pound her, his hips thrusting back and forth with a relentless rhythm, the camera angles shifting to capture the way her ass ripples and her body sways erratically with each impact. ",LORA_I2V_POV_Insertion_H.safetensors,-,LORA_I2V_POV_Insertion_L.safetensors,-,,,,,,,,,,,,
POV Insertion kneels,POV Kneels,已测试,https://civitai.com/models/1855263,"the woman kneels on the bed. a man with a large penis walks in from the left. he quickly pulls down her pants revealing her naked ass. then she bends over and he pushes his erect penis into the girl's vagina and fucks the girl in the pussy with his penis, the penis thrusting in and out of her vagina as they have vaginal sex. she moans and screams, grimacing from pain and agony. she keeps looking at the camera throughout the whole video",LORA_I2V_POV_Insertion_H.safetensors,-,LORA_I2V_POV_Insertion_L.safetensors,-,,,,,,,,,,,,
POV Insertion Straddling,POV Straddling,已测试,https://civitai.com/models/1855263,"The camera follows the same woman as she pulls up her skirt with both hands, exposing her vagina. She moves forward, bends down, and squats with her legs spread, straddling a man's crotch—his penis is erect. The woman presses her hips down onto the penis, which enters her vagina. She then leans back and sits down while the penis remains inside her. The man grips her legs tightly with both hands. This scene is filmed from a low angle.",LORA_I2V_POV_Insertion_H.safetensors,-,LORA_I2V_POV_Insertion_L.safetensors,-,,,,,,,,,,,,
Bouncy Walk,Bouncy Walk,已测试,https://civitai.com/models/1361346,"walking into the direction of the moving camera, her breasts are bouncing",LORA_I2V_Bouncy_Walk_H.safetensors,2261902,LORA_I2V_Bouncy_Walk_L.safetensors,2261896,,,,,,,,,,,,
Sex Smash Cut,Sex Smash Cut,已测试,https://civitai.com/models/2058870,<SM4SHCUT> The scene changes and a man is thrusting his penis into and out of her pussy,LORA_I2V_Sex_Smash_Cut_H.safetensors,2329873,LORA_I2V_Sex_Smash_Cut_L.safetensors,2329863,,,,,,,,,,,,
Dance Swaying Breasts,Breasts Swaying,已测试,https://civitai.com/models/1921237,"dncng, she is dancing, swaying her breasts, both hands above head",LORA_I2V_Dance_Swaying_Breasts_H.safetensors,2198535,LORA_I2V_Dance_Swaying_Breasts_L.safetensors,2198546,,,,,,,,,,,,
